Model,Train_Accuracy,Train_Acc_Std,Test_Accuracy,Test_CI_Lower,Test_CI_Upper,Balanced_Accuracy,F1_Score,ROC_AUC,Overfitting,CV_Balanced_Acc,CV_F1,CV_ROC_AUC
Logistic Regression,0.889662094345935,0.02683490527016305,0.8986928104575164,0.8627450980392157,0.9313725490196079,0.8960659636062861,0.8981892210436088,0.982629104428434,-0.00903071611158135,0.890255306942054,0.889591836176369,0.979921232239197
CatBoost,0.823379056540649,0.03133815038602613,0.8725490196078431,0.8300653594771242,0.9084967320261438,0.8718523113684404,0.8747149478460834,0.9725618776292292,-0.04916996306719412,0.8240820955780794,0.8236416002242875,0.9506198838421481
XGBoost,0.7784208765473403,0.019023991923504444,0.8464052287581699,0.807107843137255,0.8856209150326797,0.8402375700762797,0.845608579563875,0.9531620571500908,-0.06798435221082966,0.7797241346337731,0.7772519645130938,0.926510376421301
Gradient Boosting,0.7816962194713951,0.02601584754122402,0.8431372549019608,0.8006535947712419,0.8856209150326797,0.8395942468523113,0.8440611636322657,0.9570762012978934,-0.06144103543056567,0.7827878002309061,0.7813736457950122,0.927335674120622
SVM (RBF),0.8053897624623619,0.008561694424310507,0.8398692810457516,0.7941176470588235,0.8790849673202614,0.8367452440033084,0.8410733186024586,0.9630874472404312,-0.03447951858338971,0.8063072218326568,0.8056193823804859,0.945089385326812
LightGBM,0.7653596520575443,0.040185051583654395,0.8333333333333334,0.7907679738562092,0.8725490196078431,0.8298007995588641,0.8349484530786287,0.9505937037407897,-0.06797368127578907,0.7667008244618686,0.7641359102824927,0.9177637049113974
Random Forest,0.7342455670792907,0.010688454930068533,0.7875816993464052,0.7418300653594772,0.8333333333333334,0.7799576095947064,0.7866335730485149,0.9226096999373455,-0.05333613226711453,0.73624494450465,0.7280630287937215,0.8924469379543737
