Model,Train_Accuracy,Train_Acc_Std,Test_Accuracy,Test_CI_Lower,Test_CI_Upper,Balanced_Accuracy,F1_Score,ROC_AUC,Overfitting,CV_Balanced_Acc,CV_F1,CV_ROC_AUC
Logistic Regression,0.889662094345935,0.02683490527016305,0.8986928104575164,0.8627450980392157,0.9313725490196079,0.8960659636062861,0.8981892210436088,0.982629104428434,-0.00903071611158135,0.890255306942054,0.889591836176369,0.979921232239197
CatBoost,0.823379056540649,0.03133815038602613,0.8725490196078431,0.8333333333333334,0.9084967320261438,0.8718523113684404,0.8747149478460834,0.9725618776292292,-0.04916996306719412,0.8240820955780794,0.8236416002242875,0.9506198838421481
Voting Ensemble,0.8283171629307461,0.027974397272800114,0.869281045751634,0.8300653594771242,0.9052287581699346,0.8691153156878965,0.8719067762648431,0.967363921065837,-0.04096388282088792,0.8291416282413605,0.8282241781323355,0.955669043748887
LightGBM,0.8479123452659753,0.01961815309558004,0.8496732026143791,0.803921568627451,0.888970588235294,0.8491923995956254,0.8527394428235043,0.9650288701980799,-0.0017608573484038104,0.8486250646324274,0.8474340942865256,0.9624463587561909
Stacking Ensemble,0.8650652392104383,0.019861074099621172,0.8496732026143791,0.8104575163398693,0.8857026143790848,0.8467627056336733,0.8510732922201137,0.972319479996283,0.015392036596059255,0.8658312261391243,0.8646876795368124,0.9688066196571293
XGBoost,0.751435262629642,0.037889417781076365,0.826797385620915,0.7777777777777778,0.869281045751634,0.8227443479459607,0.8281793778117307,0.9462328564938699,-0.07536212299127298,0.7525121119398228,0.7513697764391795,0.9098946690949928
