number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,state
10,0.3631819103690859,2025-12-21 02:42:13.954932,2025-12-21 02:42:14.974792,0 days 00:00:01.019860,0.5089809378074099,10,0.6843643863605487,0.14405863544014455,90,16,0.07797399829228047,0.06153773875051782,COMPLETE
11,0.35645974390028246,2025-12-21 02:42:14.979115,2025-12-21 02:42:15.934539,0 days 00:00:00.955424,0.5085930751344794,10,0.6543779873556573,0.14009709221821554,89,16,0.08527113234981058,0.054616740637143536,COMPLETE
12,0.3581321689259928,2025-12-21 02:42:15.936079,2025-12-21 02:42:16.872912,0 days 00:00:00.936833,0.5018203726540555,10,0.6716702181856073,0.16830762515594053,97,16,0.17270324983211605,0.22751884514054016,COMPLETE
13,0.4131143095380573,2025-12-21 02:42:16.874387,2025-12-21 02:42:17.903582,0 days 00:00:01.029195,0.5048579886309473,8,0.6548138382289023,0.19407481786871603,114,19,4.996812193207757,0.022590642319933907,COMPLETE
14,0.38351029132070896,2025-12-21 02:42:17.905094,2025-12-21 02:42:19.222497,0 days 00:00:01.317403,0.5797654491534234,10,0.7643661547358029,0.09704602571579096,78,43,0.7575207846082378,3.6904917106311634,COMPLETE
15,0.38740341757266616,2025-12-21 02:42:19.224067,2025-12-21 02:42:20.534109,0 days 00:00:01.310042,0.5916361574079215,8,0.7793992915216572,0.0931454203478488,134,48,2.126560410686016,1.439546497325321,COMPLETE
16,0.3633098578647592,2025-12-21 02:42:20.535506,2025-12-21 02:42:21.890287,0 days 00:00:01.354781,0.5636930180091415,7,0.6262329892929221,0.10629412329246435,113,57,0.863121553562868,3.197342331354389,COMPLETE
17,0.35482576117279346,2025-12-21 02:42:21.891724,2025-12-21 02:42:22.723230,0 days 00:00:00.831506,0.6574366255373658,9,0.8146643330149077,0.19422957580663425,148,27,0.06589607190461777,0.4893242440337615,COMPLETE
18,0.3625245654160831,2025-12-21 02:42:22.724753,2025-12-21 02:42:23.863789,0 days 00:00:01.139036,0.6570822892340241,6,0.8369254675969868,0.12796907552616718,156,29,0.9846570056817681,1.3639528624004458,COMPLETE
19,0.41876365297333507,2025-12-21 02:42:23.865321,2025-12-21 02:42:25.288268,0 days 00:00:01.422947,0.7163728055902459,9,0.920417139673753,0.0675631612150025,152,58,2.204674424692299,2.809443730797205,COMPLETE
20,0.37867900214934647,2025-12-21 02:42:25.289697,2025-12-21 02:42:27.286255,0 days 00:00:01.996558,0.7069083206767178,9,0.734380225697641,0.07238197275571763,67,27,0.5043961491799209,0.5087471989315983,COMPLETE
21,0.359087098682469,2025-12-21 02:42:27.287727,2025-12-21 02:42:28.158339,0 days 00:00:00.870612,0.5484039823507281,10,0.80016872218771,0.19956853848868733,95,28,0.07510605812843618,0.2957535817524365,COMPLETE
22,0.37245214922569814,2025-12-21 02:42:28.162512,2025-12-21 02:42:29.061952,0 days 00:00:00.899440,0.6207056512173403,9,0.6799780239481857,0.1598942051493933,125,17,1.2259890775709226,0.001431550615811017,COMPLETE
23,0.3657701040294173,2025-12-21 02:42:29.063321,2025-12-21 02:42:30.141661,0 days 00:00:01.078340,0.5261168287535571,7,0.7123703362205944,0.12337995198393684,95,30,0.4398194204782109,0.6110482711045846,COMPLETE
24,0.35136103500621363,2025-12-21 02:42:30.145178,2025-12-21 02:42:31.185362,0 days 00:00:01.040184,0.6070900197473761,10,0.5688901404632025,0.16240297644918114,157,52,0.48505835838094497,1.290948167017517,COMPLETE
25,0.3879509891838816,2025-12-21 02:42:31.186825,2025-12-21 02:42:32.440183,0 days 00:00:01.253358,0.6036848989595245,8,0.5878688977482006,0.08373638911294316,161,52,0.5736922495866481,1.1945726185329233,COMPLETE
26,0.3682619045876178,2025-12-21 02:42:32.441750,2025-12-21 02:42:33.701310,0 days 00:00:01.259560,0.6932689792988694,9,0.6292709531906837,0.11974037695176147,179,66,1.2140663565276164,1.7353995944753082,COMPLETE
27,0.34942710764042306,2025-12-21 02:42:33.702748,2025-12-21 02:42:34.844916,0 days 00:00:01.142168,0.5540210758507944,5,0.5525190557185995,0.15050297833536433,145,42,0.574416678613634,0.74877509099746,COMPLETE
28,0.3562881664363958,2025-12-21 02:42:34.846413,2025-12-21 02:42:36.091547,0 days 00:00:01.245134,0.7577901533910214,5,0.5382866269274407,0.16762570723018266,175,83,1.8005817736615533,2.164645312512173,COMPLETE
29,0.4347171400968454,2025-12-21 02:42:36.095638,2025-12-21 02:42:37.629545,0 days 00:00:01.533907,0.7907417789853736,4,0.5627983171983076,0.042444452111096605,144,44,0.5319385124411482,1.4340606719901408,COMPLETE
