number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.452378977549886,2025-12-21 02:41:40.947651,2025-12-21 02:41:48.229856,0 days 00:00:07.282205,0.7993292420985183,2,0.8659969709057025,0.030710573677773714,39,123,0.2904180608409973,4.330880728874676,COMPLETE
1,0.42655809380400866,2025-12-21 02:41:48.231423,2025-12-21 02:41:51.478487,0 days 00:00:03.247064,0.9849549260809971,9,0.5102922471479012,0.06054365855469246,50,96,0.9091248360355031,0.9170225492671691,COMPLETE
2,0.46230671822600716,2025-12-21 02:41:51.480107,2025-12-21 02:41:54.270693,0 days 00:00:02.790586,0.645614570099021,7,0.7159725093210578,0.024878734419814436,36,75,1.4607232426760908,1.8318092164684585,COMPLETE
3,0.44298333576979604,2025-12-21 02:41:54.272120,2025-12-21 02:41:57.505571,0 days 00:00:03.233451,0.7571172192068059,6,0.5998368910791798,0.03920673972242137,18,104,3.0377242595071916,0.8526206184364576,COMPLETE
4,0.5822008785243012,2025-12-21 02:41:57.506966,2025-12-21 02:42:01.651835,0 days 00:00:04.144869,0.9041986740582306,4,0.9828160165372797,0.012151617026673379,28,123,3.4211651325607844,2.2007624686980067,COMPLETE
5,0.5945403197461092,2025-12-21 02:42:01.653332,2025-12-21 02:42:03.523743,0 days 00:00:01.870411,0.954660201039391,3,0.5171942605576092,0.014413697528610409,136,71,1.5585553804470549,2.600340105889054,COMPLETE
6,0.46762405946762853,2025-12-21 02:42:03.525165,2025-12-21 02:42:05.285991,0 days 00:00:01.760826,0.8875664116805573,10,0.9847923138822793,0.05143828405076928,180,36,2.9894998940554256,4.609371175115584,COMPLETE
7,0.6066754047550543,2025-12-21 02:42:05.287398,2025-12-21 02:42:07.602000,0 days 00:00:02.314602,0.6626651653816322,4,0.522613644455269,0.01303561122512888,61,38,4.143687545759647,1.7837666334679465,COMPLETE
8,0.5785470735240619,2025-12-21 02:42:07.603971,2025-12-21 02:42:09.068467,0 days 00:00:01.464496,0.9010984903770198,1,0.5704621124873813,0.023200867504756827,198,77,3.861223846483287,0.993578407670862,COMPLETE
9,0.5689140083960048,2025-12-21 02:42:09.069890,2025-12-21 02:42:13.953442,0 days 00:00:04.883552,0.8645035840204937,8,0.8534286719238086,0.010166803740022877,24,108,1.7923286427213632,0.5793452976256486,COMPLETE
