Metric,Mean,Std,CI_Lower,CI_Upper
Accuracy,0.8016349384098544,0.04337773670233463,0.7166145744732786,0.8866553023464303
Balanced Accuracy,0.669430607444306,0.07569609938920067,0.5210662526414727,0.8177949622471394
F1 Weighted,0.7863620216322662,0.048489980721357455,0.6913216594184056,0.8814023838461268
ROC-AUC,0.8510464231354643,0.04459047309581299,0.7636490958676708,0.9384437504032578
Cohens Kappa,0.3729388739029861,0.14844485458939238,0.08198695890777702,0.6638907888981951
