metric,train,test
Accuracy,0.9452166802943581,0.6699346405228758
Balanced Accuracy,0.942601774311119,0.5729019052117778
F1 Score,0.9452596569199607,0.6617524551191635
Cohens Kappa,0.91014172542372,0.4161979752530933
ROC-AUC,0.8139690143890386,0.8139690143890386
